date_de_tirage;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;boules_gagnantes_en_ordre_croissant;etoiles_gagnantes_en_ordre_croissant
03/11/2006;13;11;44;24;49;9;3;-11-13-24-44-49-;-3-9-
27/10/2006;3;50;44;4;8;8;7;-3-4-8-44-50-;-7-8-
20/10/2006;10;34;47;19;45;6;3;-10-19-34-45-47-;-3-6-
13/10/2006;2;32;38;41;25;5;3;-2-25-32-38-41-;-3-5-
06/10/2006;5;35;11;22;38;7;8;-5-11-22-35-38-;-7-8-
29/09/2006;1;3;24;6;18;5;8;-1-3-6-18-24-;-5-8-
22/09/2006;30;45;49;29;10;8;3;-10-29-30-45-49-;-3-8-
15/09/2006;10;49;26;6;16;7;9;-6-10-16-26-49-;-7-9-
08/09/2006;12;10;32;33;1;8;1;-1-10-12-32-33-;-1-8-
01/09/2006;25;50;7;45;3;9;6;-3-7-25-45-50-;-6-9-
25/08/2006;47;10;28;48;40;8;6;-10-28-40-47-48-;-6-8-
18/08/2006;37;40;50;12;39;1;2;-12-37-39-40-50-;-1-2-
11/08/2006;47;31;46;28;27;5;2;-27-28-31-46-47-;-2-5-
04/08/2006;26;15;32;14;1;7;3;-1-14-15-26-32-;-3-7-
28/07/2006;3;43;29;8;12;6;7;-3-8-12-29-43-;-6-7-
21/07/2006;50;4;38;2;9;8;6;-2-4-9-38-50-;-6-8-
14/07/2006;1;31;7;17;36;8;2;-1-7-17-31-36-;-2-8-
07/07/2006;35;9;7;43;18;7;5;-7-9-18-35-43-;-5-7-
30/06/2006;16;6;15;40;43;1;2;-6-15-16-40-43-;-1-2-
23/06/2006;44;30;9;21;43;9;1;-9-21-30-43-44-;-1-9-
16/06/2006;26;36;1;16;30;9;3;-1-16-26-30-36-;-3-9-
09/06/2006;3;34;39;15;12;4;6;-3-12-15-34-39-;-4-6-
02/06/2006;41;7;48;27;8;6;1;-7-8-27-41-48-;-1-6-
26/05/2006;21;41;12;2;49;3;7;-2-12-21-41-49-;-3-7-
19/05/2006;49;34;25;3;5;8;5;-3-5-25-34-49-;-5-8-
12/05/2006;23;5;20;34;50;1;5;-5-20-23-34-50-;-1-5-
05/05/2006;8;50;16;4;14;9;3;-4-8-14-16-50-;-3-9-
28/04/2006;17;5;33;22;10;7;5;-5-10-17-22-33-;-5-7-
21/04/2006;46;1;22;20;37;1;9;-1-20-22-37-46-;-1-9-
14/04/2006;34;35;26;16;49;6;2;-16-26-34-35-49-;-2-6-
07/04/2006;13;12;29;50;44;4;5;-12-13-29-44-50-;-4-5-
31/03/2006;50;3;45;20;31;7;6;-3-20-31-45-50-;-6-7-
24/03/2006;17;47;28;33;35;4;9;-17-28-33-35-47-;-4-9-
17/03/2006;50;44;5;45;32;7;1;-5-32-44-45-50-;-1-7-
10/03/2006;1;33;21;45;49;4;8;-1-21-33-45-49-;-4-8-
03/03/2006;5;44;10;8;3;3;5;-3-5-8-10-44-;-3-5-
24/02/2006;18;19;1;47;11;7;3;-1-11-18-19-47-;-3-7-
17/02/2006;4;23;38;24;26;4;2;-4-23-24-26-38-;-2-4-
10/02/2006;5;38;6;48;50;6;7;-5-6-38-48-50-;-6-7-
03/02/2006;30;39;9;21;50;3;1;-9-21-30-39-50-;-1-3-
27/01/2006;9;21;15;40;49;4;1;-9-15-21-40-49-;-1-4-
20/01/2006;15;12;50;33;44;6;2;-12-15-33-44-50-;-2-6-
13/01/2006;12;19;33;34;8;1;6;-8-12-19-33-34-;-1-6-
06/01/2006;6;26;14;9;2;4;5;-2-6-9-14-26-;-4-5-
30/12/2005;19;45;43;8;16;1;4;-8-16-19-43-45-;-1-4-
23/12/2005;31;42;37;36;15;1;7;-15-31-36-37-42-;-1-7-
16/12/2005;2;18;3;15;32;7;6;-2-3-15-18-32-;-6-7-
09/12/2005;11;42;38;35;18;1;5;-11-18-35-38-42-;-1-5-
02/12/2005;1;30;20;9;23;4;7;-1-9-20-23-30-;-4-7-
25/11/2005;27;39;47;6;1;6;1;-1-6-27-39-47-;-1-6-
18/11/2005;34;17;18;48;25;3;2;-17-18-25-34-48-;-2-3-
11/11/2005;41;16;36;42;15;5;3;-15-16-36-41-42-;-3-5-
04/11/2005;38;42;36;37;26;2;6;-26-36-37-38-42-;-2-6-
28/10/2005;14;50;47;44;36;3;5;-14-36-44-47-50-;-3-5-
21/10/2005;19;14;33;1;29;1;8;-1-14-19-29-33-;-1-8-
14/10/2005;10;19;11;23;20;6;1;-10-11-19-20-23-;-1-6-
07/10/2005;26;44;21;13;2;3;9;-2-13-21-26-44-;-3-9-
30/09/2005;11;50;48;6;47;1;6;-6-11-47-48-50-;-1-6-
23/09/2005;1;31;34;26;47;4;9;-1-26-31-34-47-;-4-9-
16/09/2005;19;38;12;13;21;3;9;-12-13-19-21-38-;-3-9-
09/09/2005;31;12;50;19;8;7;6;-8-12-19-31-50-;-6-7-
02/09/2005;43;3;4;50;14;3;6;-3-4-14-43-50-;-3-6-
26/08/2005;29;35;40;41;9;6;1;-9-29-35-40-41-;-1-6-
19/08/2005;41;29;11;24;31;3;1;-11-24-29-31-41-;-1-3-
12/08/2005;37;23;40;15;30;7;9;-15-23-30-37-40-;-7-9-
05/08/2005;21;11;2;22;30;4;6;-2-11-21-22-30-;-4-6-
29/07/2005;50;3;19;49;26;5;4;-3-19-26-49-50-;-4-5-
22/07/2005;49;14;41;3;48;1;4;-3-14-41-48-49-;-1-4-
15/07/2005;42;23;1;11;12;6;3;-1-11-12-23-42-;-3-6-
08/07/2005;42;46;36;35;49;8;2;-35-36-42-46-49-;-2-8-
01/07/2005;23;28;5;4;25;3;4;-4-5-23-25-28-;-3-4-
24/06/2005;6;15;8;14;45;7;8;-6-8-14-15-45-;-7-8-
17/06/2005;8;4;10;21;18;7;1;-4-8-10-18-21-;-1-7-
10/06/2005;37;32;47;7;6;7;1;-6-7-32-37-47-;-1-7-
03/06/2005;8;11;3;17;50;5;1;-3-8-11-17-50-;-1-5-
27/05/2005;50;48;31;2;24;9;4;-2-24-31-48-50-;-4-9-
20/05/2005;28;6;47;7;13;8;5;-6-7-13-28-47-;-5-8-
13/05/2005;12;40;31;17;32;9;2;-12-17-31-32-40-;-2-9-
06/05/2005;44;21;12;7;26;6;8;-7-12-21-26-44-;-6-8-
29/04/2005;42;35;9;3;39;1;8;-3-9-35-39-42-;-1-8-
22/04/2005;13;10;24;47;3;9;5;-3-10-13-24-47-;-5-9-
15/04/2005;6;31;42;38;28;9;3;-6-28-31-38-42-;-3-9-
08/04/2005;31;50;25;11;7;3;1;-7-11-25-31-50-;-1-3-
01/04/2005;26;44;47;25;41;3;7;-25-26-41-44-47-;-3-7-
25/03/2005;29;33;38;4;37;9;6;-4-29-33-37-38-;-6-9-
18/03/2005;48;39;23;6;43;5;7;-6-23-39-43-48-;-5-7-
11/03/2005;40;12;43;23;8;1;4;-8-12-23-40-43-;-1-4-
04/03/2005;12;32;37;39;24;7;9;-12-24-32-37-39-;-7-9-
25/02/2005;43;3;27;44;30;8;4;-3-27-30-43-44-;-4-8-
18/02/2005;32;46;20;21;26;8;9;-20-21-26-32-46-;-8-9-
11/02/2005;11;13;25;32;50;7;4;-11-13-25-32-50-;-4-7-
04/02/2005;11;1;40;30;8;7;8;-1-8-11-30-40-;-7-8-
28/01/2005;26;21;7;43;45;5;7;-7-21-26-43-45-;-5-7-
21/01/2005;12;14;10;26;24;8;5;-10-12-14-24-26-;-5-8-
14/01/2005;11;14;29;6;19;3;1;-6-11-14-19-29-;-1-3-
07/01/2005;50;27;47;3;23;3;2;-3-23-27-47-50-;-2-3-
31/12/2004;8;7;47;25;24;8;9;-7-8-24-25-47-;-8-9-
24/12/2004;3;27;29;4;37;6;5;-3-4-27-29-37-;-5-6-
17/12/2004;49;22;19;15;46;9;2;-15-19-22-46-49-;-2-9-
10/12/2004;3;13;43;1;16;7;2;-1-3-13-16-43-;-2-7-
03/12/2004;15;42;11;1;49;4;3;-1-11-15-42-49-;-3-4-
26/11/2004;24;1;34;4;36;8;6;-1-4-24-34-36-;-6-8-
19/11/2004;37;29;34;18;1;6;2;-1-18-29-34-37-;-2-6-
12/11/2004;12;13;4;32;11;9;3;-4-11-12-13-32-;-3-9-
05/11/2004;25;42;49;19;6;1;7;-6-19-25-42-49-;-1-7-
29/10/2004;32;1;38;35;8;9;4;-1-8-32-35-38-;-4-9-
22/10/2004;9;25;1;40;23;3;9;-1-9-23-25-40-;-3-9-
15/10/2004;37;21;14;43;22;5;8;-14-21-22-37-43-;-5-8-
08/10/2004;12;10;48;1;16;2;6;-1-10-12-16-48-;-2-6-
01/10/2004;48;20;45;21;12;6;5;-12-20-21-45-48-;-5-6-
24/09/2004;48;21;26;27;44;1;7;-21-26-27-44-48-;-1-7-
17/09/2004;41;39;15;18;29;8;5;-15-18-29-39-41-;-5-8-
10/09/2004;5;38;36;25;33;5;2;-5-25-33-36-38-;-2-5-
